Dates	Flow	SSC
2016-12-13	100	13
2016-12-15	2781.17	1858.52
2016-12-16	1627.67	581.97
2016-12-23	219	54
2016-12-24	317	74
2016-12-28	106	30
2017-01-04	1401.22	1253.11
2017-01-05	409.50	102.11
2017-01-07	1079.60	724.54
2017-01-08	12898.50	5668.73
2017-01-09	4644.67	1725.09
2017-01-10	9812.00	3427.82
2017-01-11	6933	1340
2017-01-12	4491.67	914.62
2017-01-13	3622.00	759.93
2017-01-14	3393.33	594.23
2017-01-18	5562.50	2187.51
2017-01-19	6733.33	1501.76
2017-01-20	8633.75	2419.45
2017-01-21	5230.00	595.42
2017-01-22	10863.80	2655.99
2017-01-23	5715.00	784.41
2017-01-24	4825.00	573.70
2017-01-25	3780.00	525.64
2017-01-29	3580	344
2017-01-30	3660	301
2017-01-31	3520.00	253.94
2017-02-02	3920.00	363.68
2017-02-03	5396.67	1115.80
2017-02-04	4244.00	394.46
2017-02-05	3810	262
2017-02-07	12369.20	3437.39
2017-02-08	6352.50	779.17
2017-02-09	9147.43	2065.21
2017-02-10	8060.00	940.81
2017-02-20	11100	1900
2017-02-22	7360	1240
2017-02-23	6420	911
2017-02-24	5742.00	800.18
2017-02-25	5770	789
2017-03-01	4710	495
2017-03-10	3800	213
2017-03-11	3370	278
2017-03-12	3345.00	213.24
2017-03-13	3330	141
2017-03-15	3140	122
2017-03-23	1630	136
2017-04-03	715	20
2017-04-04	519	39
2017-04-25	419	21
2017-05-05	458.00	35.00
2017-05-15	509	22
2017-10-25	148	7
2017-11-03	57	8
2017-11-10	36	7
2017-11-13	24	5
2017-11-29	25	6
2017-12-01	24	8
2017-12-08	24	6
2017-12-11	25	7
2017-12-15	25	6
2017-12-24	25	5
2017-12-29	25	8
2018-01-05	29	9
2018-01-08	57.2	27
2018-01-09	180	22
2018-01-10	152.50	20.48
2018-01-18	31	15
2018-01-24	60	13
2018-01-25	135	14
2018-01-26	105	8
2018-02-12	26.3	3
2018-02-15	25	16
2018-02-28	31	4
2018-03-02	109.50	25.99
2018-03-07	38	8
2018-03-17	106.00	19.00
2018-03-22	938.11	1009.27
2018-03-23	581.00	436.81
2018-03-27	111	16
2018-04-07	910.50	412.75
2018-04-08	581.00	197.87
2018-04-11	137	37
2018-04-15	77	16
2018-04-24	228	64
2018-04-27	288	37
2018-04-30	317	29
2018-05-11	697	82
2018-10-02	323	30
2018-10-05	228.00	18.73
2018-10-15	239	14
2018-10-19	97	13
2018-10-22	74	7
2018-10-26	31	8
2018-10-29	13	9
2018-11-02	12	6
2018-11-06	10	6
2018-11-29	56	12
2018-11-30	155.50	486.02
2018-12-14	9	13
2019-01-16	4160	3080
2019-01-17	6655.00	3821.08
2019-01-18	964	343
2019-01-29	129	17
2019-02-02	1389.60	1086.00
2019-02-03	979.91	445.87
2019-02-04	2620	1640
2019-02-05	731.50	248.23
2019-02-06	432	279
2019-02-12	277	450
2019-02-13	9847.80	3196.30
2019-02-14	11047.78	4507.86
2019-02-15	5512.86	1520.19
2019-02-22	3015.00	679.89
2019-02-23	2935.00	335.29
2019-02-24	2900	241
2019-02-26	11465.00	2485.95
2019-02-27	15550.00	4294.60
2019-03-01	4980	792
2019-03-04	4590	522
2019-03-05	4360.00	446.50
2019-03-06	7272.50	1963.71
2019-03-07	5410.00	799.05
2019-03-09	4680	699
2019-03-10	5075.00	599.96
2019-03-11	4590	565
2019-03-21	3390	193
2019-03-22	3340	164
2019-03-23	3610.00	211.23
2019-03-24	3180	144
2019-03-27	4520	406
2019-03-29	3570	213
2019-03-30	3440	140
2019-04-01	3180	234
2019-04-04	3030	303
2019-04-15	709	35
2019-04-17	492.50	29.03
2019-04-20	460	45
2019-04-23	424	66
2019-04-25	414	16
2019-04-28	329	28
2019-04-30	310	22
2019-05-01	302	7
