# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-06-26 19:31:26 EDT       (nadww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11452500 CACHE C A YOLO CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11452500
#            TS   parameter     Description
#         15900       00060     Discharge, cubic feet per second
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
# 
agency_cd	site_no	datetime	tz_cd	15900_00060	15900_00060_cd
USGS	11452500	2016-12-11 23:30	PST	277	A
USGS	11452500	2016-12-11 23:45	PST	270	A
USGS	11452500	2016-12-12 00:00	PST	264	A
USGS	11452500	2016-12-12 00:15	PST	260	A
USGS	11452500	2016-12-12 00:30	PST	260	A
USGS	11452500	2016-12-12 00:45	PST	253	A
USGS	11452500	2016-12-12 01:00	PST	249	A
USGS	11452500	2016-12-12 01:15	PST	245	A
USGS	11452500	2016-12-12 01:30	PST	243	A
USGS	11452500	2016-12-12 01:45	PST	240	A
USGS	11452500	2016-12-12 02:00	PST	234	A
USGS	11452500	2016-12-12 02:15	PST	232	A
USGS	11452500	2016-12-12 02:30	PST	230	A
USGS	11452500	2016-12-12 02:45	PST	223	A
USGS	11452500	2016-12-12 03:00	PST	219	A
USGS	11452500	2016-12-12 03:15	PST	215	A
USGS	11452500	2016-12-12 03:30	PST	213	A
USGS	11452500	2016-12-12 03:45	PST	211	A
USGS	11452500	2016-12-12 04:00	PST	204	A
USGS	11452500	2016-12-12 04:15	PST	206	A
USGS	11452500	2016-12-12 04:30	PST	202	A
USGS	11452500	2016-12-12 04:45	PST	195	A
USGS	11452500	2016-12-12 05:00	PST	190	A
USGS	11452500	2016-12-12 05:15	PST	190	A
USGS	11452500	2016-12-12 05:30	PST	187	A
USGS	11452500	2016-12-12 05:45	PST	180	A
USGS	11452500	2016-12-12 06:00	PST	177	A
USGS	11452500	2016-12-12 06:15	PST	173	A
USGS	11452500	2016-12-12 06:30	PST	173	A
USGS	11452500	2016-12-12 06:45	PST	170	A
USGS	11452500	2016-12-12 07:00	PST	166	A
USGS	11452500	2016-12-12 07:15	PST	163	A
USGS	11452500	2016-12-12 07:30	PST	161	A
USGS	11452500	2016-12-12 07:45	PST	159	A
USGS	11452500	2016-12-12 08:00	PST	156	A
USGS	11452500	2016-12-12 08:15	PST	150	A
USGS	11452500	2016-12-12 08:30	PST	152	A
USGS	11452500	2016-12-12 08:45	PST	148	A
USGS	11452500	2016-12-12 09:00	PST	143	A
USGS	11452500	2016-12-12 09:15	PST	143	A
USGS	11452500	2016-12-12 09:30	PST	139	A
USGS	11452500	2016-12-12 09:45	PST	139	A
USGS	11452500	2016-12-12 10:00	PST	135	A
USGS	11452500	2016-12-12 10:15	PST	135	A
USGS	11452500	2016-12-12 10:30	PST	131	A
USGS	11452500	2016-12-12 10:45	PST	129	A
USGS	11452500	2016-12-12 11:00	PST	127	A
USGS	11452500	2016-12-12 11:15	PST	125	A
USGS	11452500	2016-12-12 11:30	PST	121	A
USGS	11452500	2016-12-12 11:45	PST	121	A
USGS	11452500	2016-12-12 12:00	PST	119	A
USGS	11452500	2016-12-12 12:15	PST	115	A
USGS	11452500	2016-12-12 12:30	PST	113	A
USGS	11452500	2016-12-12 12:45	PST	111	A
USGS	11452500	2016-12-12 13:00	PST	113	A
USGS	11452500	2016-12-12 13:15	PST	110	A
USGS	11452500	2016-12-12 13:30	PST	106	A
USGS	11452500	2016-12-12 13:45	PST	106	A
USGS	11452500	2016-12-12 14:00	PST	104	A
USGS	11452500	2016-12-12 14:15	PST	102	A
USGS	11452500	2016-12-12 14:30	PST	102	A
USGS	11452500	2016-12-12 14:45	PST	101	A
USGS	11452500	2016-12-12 15:00	PST	98.9	A
USGS	11452500	2016-12-12 15:15	PST	97.2	A
USGS	11452500	2016-12-12 15:30	PST	95.5	A
USGS	11452500	2016-12-12 15:45	PST	93.8	A
USGS	11452500	2016-12-12 16:00	PST	92.1	A
USGS	11452500	2016-12-12 16:15	PST	92.1	A
USGS	11452500	2016-12-12 16:30	PST	88.9	A
USGS	11452500	2016-12-12 16:45	PST	88.9	A
USGS	11452500	2016-12-12 17:00	PST	87.3	A
USGS	11452500	2016-12-12 17:15	PST	85.7	A
USGS	11452500	2016-12-12 17:30	PST	84.1	A
USGS	11452500	2016-12-12 17:45	PST	84.1	A
USGS	11452500	2016-12-12 18:00	PST	82.5	A
USGS	11452500	2016-12-12 18:15	PST	81.0	A
USGS	11452500	2016-12-12 18:30	PST	79.5	A
USGS	11452500	2016-12-12 18:45	PST	79.5	A
USGS	11452500	2016-12-12 19:00	PST	78.0	A
USGS	11452500	2016-12-12 19:15	PST	76.5	A
USGS	11452500	2016-12-12 19:30	PST	76.5	A
USGS	11452500	2016-12-12 19:45	PST	73.6	A
USGS	11452500	2016-12-12 20:00	PST	73.6	A
USGS	11452500	2016-12-12 20:15	PST	72.1	A
USGS	11452500	2016-12-12 20:30	PST	72.1	A
USGS	11452500	2016-12-12 20:45	PST	70.7	A
USGS	11452500	2016-12-12 21:00	PST	69.3	A
USGS	11452500	2016-12-12 21:15	PST	69.3	A
USGS	11452500	2016-12-12 21:30	PST	69.3	A
USGS	11452500	2016-12-12 21:45	PST	69.3	A
USGS	11452500	2016-12-12 22:00	PST	66.5	A
USGS	11452500	2016-12-12 22:15	PST	65.2	A
USGS	11452500	2016-12-12 22:30	PST	65.2	A
USGS	11452500	2016-12-12 22:45	PST	63.8	A
USGS	11452500	2016-12-12 23:00	PST	62.5	A
USGS	11452500	2016-12-12 23:15	PST	61.2	A
USGS	11452500	2016-12-12 23:30	PST	59.9	A
USGS	11452500	2016-12-12 23:45	PST	59.9	A
USGS	11452500	2016-12-13 00:00	PST	58.6	A
USGS	11452500	2016-12-13 00:15	PST	57.4	A
USGS	11452500	2016-12-13 00:30	PST	58.6	A
USGS	11452500	2016-12-13 00:45	PST	57.4	A
USGS	11452500	2016-12-13 01:00	PST	56.1	A
USGS	11452500	2016-12-13 01:15	PST	56.1	A
USGS	11452500	2016-12-13 01:30	PST	56.1	A
USGS	11452500	2016-12-13 01:45	PST	56.1	A
USGS	11452500	2016-12-13 02:00	PST	54.9	A
USGS	11452500	2016-12-13 02:15	PST	54.9	A
USGS	11452500	2016-12-13 02:30	PST	53.7	A
USGS	11452500	2016-12-13 02:45	PST	52.5	A
USGS	11452500	2016-12-13 03:00	PST	53.7	A
USGS	11452500	2016-12-13 03:15	PST	51.3	A
USGS	11452500	2016-12-13 03:30	PST	51.3	A
USGS	11452500	2016-12-13 03:45	PST	51.3	A
USGS	11452500	2016-12-13 04:00	PST	50.1	A
USGS	11452500	2016-12-13 04:15	PST	49.0	A
USGS	11452500	2016-12-13 04:30	PST	49.0	A
USGS	11452500	2016-12-13 04:45	PST	49.0	A
USGS	11452500	2016-12-13 05:00	PST	47.8	A
USGS	11452500	2016-12-13 05:15	PST	49.0	A
USGS	11452500	2016-12-13 05:30	PST	46.7	A
USGS	11452500	2016-12-13 05:45	PST	46.7	A
USGS	11452500	2016-12-13 06:00	PST	46.7	A
USGS	11452500	2016-12-13 06:15	PST	45.6	A
USGS	11452500	2016-12-13 06:30	PST	44.5	A
USGS	11452500	2016-12-13 06:45	PST	44.5	A
USGS	11452500	2016-12-13 07:00	PST	44.5	A
USGS	11452500	2016-12-13 07:15	PST	43.5	A
USGS	11452500	2016-12-13 07:30	PST	43.5	A
USGS	11452500	2016-12-13 07:45	PST	42.4	A
USGS	11452500	2016-12-13 08:00	PST	42.4	A
USGS	11452500	2016-12-13 08:15	PST	41.4	A
USGS	11452500	2016-12-13 08:30	PST	40.3	A
USGS	11452500	2016-12-13 08:45	PST	40.3	A
USGS	11452500	2016-12-13 09:00	PST	39.3	A
USGS	11452500	2016-12-13 09:15	PST	39.3	A
USGS	11452500	2016-12-13 09:30	PST	39.3	A
USGS	11452500	2016-12-13 09:45	PST	39.3	A
USGS	11452500	2016-12-13 10:00	PST	38.3	A
USGS	11452500	2016-12-13 10:15	PST	38.3	A
USGS	11452500	2016-12-13 10:30	PST	37.3	A
USGS	11452500	2016-12-13 10:45	PST	38.3	A
USGS	11452500	2016-12-13 11:00	PST	37.3	A
USGS	11452500	2016-12-13 11:15	PST	36.4	A
USGS	11452500	2016-12-13 11:30	PST	35.4	A
USGS	11452500	2016-12-13 11:45	PST	36.4	A
USGS	11452500	2016-12-13 12:00	PST	35.4	A
USGS	11452500	2016-12-13 12:15	PST	35.4	A
USGS	11452500	2016-12-13 12:30	PST	34.5	A
USGS	11452500	2016-12-13 12:45	PST	34.5	A
USGS	11452500	2016-12-13 13:00	PST	33.5	A
USGS	11452500	2016-12-13 13:15	PST	33.5	A
USGS	11452500	2016-12-13 13:30	PST	32.6	A
USGS	11452500	2016-12-13 13:45	PST	32.6	A
USGS	11452500	2016-12-13 14:00	PST	32.6	A
USGS	11452500	2016-12-13 14:15	PST	31.7	A
USGS	11452500	2016-12-13 14:30	PST	31.7	A
USGS	11452500	2016-12-13 14:45	PST	30.9	A
USGS	11452500	2016-12-13 15:00	PST	30.9	A
USGS	11452500	2016-12-13 15:15	PST	30.9	A
USGS	11452500	2016-12-13 15:30	PST	30.0	A
USGS	11452500	2016-12-13 15:45	PST	30.0	A
USGS	11452500	2016-12-13 16:00	PST	29.2	A
USGS	11452500	2016-12-13 16:15	PST	28.3	A
USGS	11452500	2016-12-13 16:30	PST	28.3	A
USGS	11452500	2016-12-13 16:45	PST	28.3	A
USGS	11452500	2016-12-13 17:00	PST	28.3	A
USGS	11452500	2016-12-13 17:15	PST	27.5	A
USGS	11452500	2016-12-13 17:30	PST	27.5	A
USGS	11452500	2016-12-13 17:45	PST	27.5	A
USGS	11452500	2016-12-13 18:00	PST	26.7	A
USGS	11452500	2016-12-13 18:15	PST	26.7	A
USGS	11452500	2016-12-13 18:30	PST	26.7	A
USGS	11452500	2016-12-13 18:45	PST	26.7	A
USGS	11452500	2016-12-13 19:00	PST	25.9	A
USGS	11452500	2016-12-13 19:15	PST	25.1	A
USGS	11452500	2016-12-13 19:30	PST	25.1	A
USGS	11452500	2016-12-13 19:45	PST	25.1	A
USGS	11452500	2016-12-13 20:00	PST	25.1	A
USGS	11452500	2016-12-13 20:15	PST	25.1	A
USGS	11452500	2016-12-13 20:30	PST	24.3	A
USGS	11452500	2016-12-13 20:45	PST	23.6	A
USGS	11452500	2016-12-13 21:00	PST	23.6	A
USGS	11452500	2016-12-13 21:15	PST	23.6	A
USGS	11452500	2016-12-13 21:30	PST	22.9	A
USGS	11452500	2016-12-13 21:45	PST	22.9	A
USGS	11452500	2016-12-13 22:00	PST	22.9	A
USGS	11452500	2016-12-13 22:15	PST	22.9	A
USGS	11452500	2016-12-13 22:30	PST	22.9	A
USGS	11452500	2016-12-13 22:45	PST	22.1	A
USGS	11452500	2016-12-13 23:00	PST	22.1	A
USGS	11452500	2016-12-13 23:15	PST	22.1	A
USGS	11452500	2016-12-13 23:30	PST	22.1	A
USGS	11452500	2016-12-13 23:45	PST	22.1	A
USGS	11452500	2016-12-14 00:00	PST	22.1	A
USGS	11452500	2016-12-14 00:15	PST	21.4	A
USGS	11452500	2016-12-14 00:30	PST	22.1	A
USGS	11452500	2016-12-14 00:45	PST	21.4	A
USGS	11452500	2016-12-14 01:00	PST	21.4	A
USGS	11452500	2016-12-14 01:15	PST	21.4	A
USGS	11452500	2016-12-14 01:30	PST	21.4	A
USGS	11452500	2016-12-14 01:45	PST	20.7	A
USGS	11452500	2016-12-14 02:00	PST	20.7	A
USGS	11452500	2016-12-14 02:15	PST	20.0	A
USGS	11452500	2016-12-14 02:30	PST	20.7	A
USGS	11452500	2016-12-14 02:45	PST	20.0	A
USGS	11452500	2016-12-14 03:00	PST	20.0	A
USGS	11452500	2016-12-14 03:15	PST	20.0	A
USGS	11452500	2016-12-14 03:30	PST	20.0	A
USGS	11452500	2016-12-14 03:45	PST	20.0	A
USGS	11452500	2016-12-14 04:00	PST	20.0	A
USGS	11452500	2016-12-14 04:15	PST	20.0	A
USGS	11452500	2016-12-14 04:30	PST	19.4	A
USGS	11452500	2016-12-14 04:45	PST	19.4	A
USGS	11452500	2016-12-14 05:00	PST	18.7	A
USGS	11452500	2016-12-14 05:15	PST	18.7	A
USGS	11452500	2016-12-14 05:30	PST	18.7	A
USGS	11452500	2016-12-14 05:45	PST	18.7	A
USGS	11452500	2016-12-14 06:00	PST	18.7	A
USGS	11452500	2016-12-14 06:15	PST	18.1	A
USGS	11452500	2016-12-14 06:30	PST	18.1	A
USGS	11452500	2016-12-14 06:45	PST	18.1	A
USGS	11452500	2016-12-14 07:00	PST	18.1	A
USGS	11452500	2016-12-14 07:15	PST	17.4	A
USGS	11452500	2016-12-14 07:30	PST	17.4	A
USGS	11452500	2016-12-14 07:45	PST	17.4	A
USGS	11452500	2016-12-14 08:00	PST	17.4	A
USGS	11452500	2016-12-14 08:15	PST	16.8	A
USGS	11452500	2016-12-14 08:30	PST	16.8	A
USGS	11452500	2016-12-14 08:45	PST	16.8	A
USGS	11452500	2016-12-14 09:00	PST	16.8	A
USGS	11452500	2016-12-14 09:15	PST	16.8	A
USGS	11452500	2016-12-14 09:30	PST	16.2	A
USGS	11452500	2016-12-14 09:45	PST	16.2	A
USGS	11452500	2016-12-14 10:00	PST	16.2	A
USGS	11452500	2016-12-14 10:15	PST	16.2	A
USGS	11452500	2016-12-14 10:30	PST	16.2	A
USGS	11452500	2016-12-14 10:45	PST	16.2	A
USGS	11452500	2016-12-14 11:00	PST	15.6	A
USGS	11452500	2016-12-14 11:15	PST	16.2	A
USGS	11452500	2016-12-14 11:30	PST	15.6	A
USGS	11452500	2016-12-14 11:45	PST	15.6	A
USGS	11452500	2016-12-14 12:00	PST	15.0	A
USGS	11452500	2016-12-14 12:15	PST	15.0	A
USGS	11452500	2016-12-14 12:30	PST	15.0	A
USGS	11452500	2016-12-14 12:45	PST	14.5	A
USGS	11452500	2016-12-14 13:00	PST	15.0	A
USGS	11452500	2016-12-14 13:15	PST	14.5	A
USGS	11452500	2016-12-14 13:30	PST	14.5	A
USGS	11452500	2016-12-14 13:45	PST	14.5	A
USGS	11452500	2016-12-14 14:00	PST	14.5	A
USGS	11452500	2016-12-14 14:15	PST	14.5	A
USGS	11452500	2016-12-14 14:30	PST	13.9	A
USGS	11452500	2016-12-14 14:45	PST	13.9	A
USGS	11452500	2016-12-14 15:00	PST	13.9	A
USGS	11452500	2016-12-14 15:15	PST	13.9	A
USGS	11452500	2016-12-14 15:30	PST	13.4	A
USGS	11452500	2016-12-14 15:45	PST	13.4	A
USGS	11452500	2016-12-14 16:00	PST	13.4	A
USGS	11452500	2016-12-14 16:15	PST	12.8	A
USGS	11452500	2016-12-14 16:30	PST	12.8	A
USGS	11452500	2016-12-14 16:45	PST	12.8	A
USGS	11452500	2016-12-14 17:00	PST	12.8	A
USGS	11452500	2016-12-14 17:15	PST	12.8	A
USGS	11452500	2016-12-14 17:30	PST	12.3	A
USGS	11452500	2016-12-14 17:45	PST	12.3	A
USGS	11452500	2016-12-14 18:00	PST	12.3	A
USGS	11452500	2016-12-14 18:15	PST	11.8	A
USGS	11452500	2016-12-14 18:30	PST	11.8	A
USGS	11452500	2016-12-14 18:45	PST	11.8	A
USGS	11452500	2016-12-14 19:00	PST	11.8	A
USGS	11452500	2016-12-14 19:15	PST	11.8	A
USGS	11452500	2016-12-14 19:30	PST	11.3	A
USGS	11452500	2016-12-14 19:45	PST	11.3	A
USGS	11452500	2016-12-14 20:00	PST	11.3	A
USGS	11452500	2016-12-14 20:15	PST	11.3	A
USGS	11452500	2016-12-14 20:30	PST	10.8	A
USGS	11452500	2016-12-14 20:45	PST	10.8	A
USGS	11452500	2016-12-14 21:00	PST	11.3	A
USGS	11452500	2016-12-14 21:15	PST	10.8	A
USGS	11452500	2016-12-14 21:30	PST	10.8	A
USGS	11452500	2016-12-14 21:45	PST	10.8	A
USGS	11452500	2016-12-14 22:00	PST	10.8	A
USGS	11452500	2016-12-14 22:15	PST	10.4	A
USGS	11452500	2016-12-14 22:30	PST	10.4	A
USGS	11452500	2016-12-14 22:45	PST	10.4	A
USGS	11452500	2016-12-14 23:00	PST	10.4	A
USGS	11452500	2016-12-14 23:15	PST	10.4	A
USGS	11452500	2016-12-14 23:30	PST	10.4	A
USGS	11452500	2016-12-14 23:45	PST	9.92	A
USGS	11452500	2016-12-15 00:00	PST	9.92	A
USGS	11452500	2016-12-15 00:15	PST	9.92	A
USGS	11452500	2016-12-15 00:30	PST	9.92	A
USGS	11452500	2016-12-15 00:45	PST	9.92	A
USGS	11452500	2016-12-15 01:00	PST	9.92	A
USGS	11452500	2016-12-15 01:15	PST	9.92	A
USGS	11452500	2016-12-15 01:30	PST	9.92	A
USGS	11452500	2016-12-15 01:45	PST	9.48	A
USGS	11452500	2016-12-15 02:00	PST	9.48	A
USGS	11452500	2016-12-15 02:15	PST	9.48	A
USGS	11452500	2016-12-15 02:30	PST	9.48	A
USGS	11452500	2016-12-15 02:45	PST	9.05	A
USGS	11452500	2016-12-15 03:00	PST	9.05	A
USGS	11452500	2016-12-15 03:15	PST	9.05	A
USGS	11452500	2016-12-15 03:30	PST	9.05	A
USGS	11452500	2016-12-15 03:45	PST	9.05	A
USGS	11452500	2016-12-15 04:00	PST	9.05	A
USGS	11452500	2016-12-15 04:15	PST	9.05	A
USGS	11452500	2016-12-15 04:30	PST	8.63	A
USGS	11452500	2016-12-15 04:45	PST	9.05	A
USGS	11452500	2016-12-15 05:00	PST	9.05	A
USGS	11452500	2016-12-15 05:15	PST	8.63	A
USGS	11452500	2016-12-15 05:30	PST	8.63	A
USGS	11452500	2016-12-15 05:45	PST	8.63	A
USGS	11452500	2016-12-15 06:00	PST	8.22	A
USGS	11452500	2016-12-15 06:15	PST	8.63	A
USGS	11452500	2016-12-15 06:30	PST	8.22	A
USGS	11452500	2016-12-15 06:45	PST	8.22	A
USGS	11452500	2016-12-15 07:00	PST	8.22	A
USGS	11452500	2016-12-15 07:15	PST	8.22	A
USGS	11452500	2016-12-15 07:30	PST	8.22	A
USGS	11452500	2016-12-15 07:45	PST	7.82	A
USGS	11452500	2016-12-15 08:00	PST	7.82	A
USGS	11452500	2016-12-15 08:15	PST	7.82	A
USGS	11452500	2016-12-15 08:30	PST	7.82	A
USGS	11452500	2016-12-15 08:45	PST	8.22	A
USGS	11452500	2016-12-15 09:00	PST	8.22	A
USGS	11452500	2016-12-15 09:15	PST	8.63	A
USGS	11452500	2016-12-15 09:30	PST	8.63	A
USGS	11452500	2016-12-15 09:45	PST	9.05	A
USGS	11452500	2016-12-15 10:00	PST	9.48	A
USGS	11452500	2016-12-15 10:15	PST	9.48	A
USGS	11452500	2016-12-15 10:30	PST	9.92	A
USGS	11452500	2016-12-15 10:45	PST	9.92	A
USGS	11452500	2016-12-15 11:00	PST	9.92	A
USGS	11452500	2016-12-15 11:15	PST	10.4	A
USGS	11452500	2016-12-15 11:30	PST	10.8	A
USGS	11452500	2016-12-15 11:45	PST	10.8	A
USGS	11452500	2016-12-15 12:00	PST	11.3	A
USGS	11452500	2016-12-15 12:15	PST	11.8	A
USGS	11452500	2016-12-15 12:30	PST	11.8	A
USGS	11452500	2016-12-15 12:45	PST	12.3	A
USGS	11452500	2016-12-15 13:00	PST	12.3	A
USGS	11452500	2016-12-15 13:15	PST	12.8	A
USGS	11452500	2016-12-15 13:30	PST	12.8	A
USGS	11452500	2016-12-15 13:45	PST	13.4	A
USGS	11452500	2016-12-15 14:00	PST	13.9	A
USGS	11452500	2016-12-15 14:15	PST	13.9	A
USGS	11452500	2016-12-15 14:30	PST	14.5	A
USGS	11452500	2016-12-15 14:45	PST	15.0	A
USGS	11452500	2016-12-15 15:00	PST	15.6	A
USGS	11452500	2016-12-15 15:15	PST	16.2	A
USGS	11452500	2016-12-15 15:30	PST	16.2	A
USGS	11452500	2016-12-15 15:45	PST	16.2	A
USGS	11452500	2016-12-15 16:00	PST	17.4	A
USGS	11452500	2016-12-15 16:15	PST	17.4	A
USGS	11452500	2016-12-15 16:30	PST	18.1	A
USGS	11452500	2016-12-15 16:45	PST	18.7	A
USGS	11452500	2016-12-15 17:00	PST	19.4	A
USGS	11452500	2016-12-15 17:15	PST	20.0	A
USGS	11452500	2016-12-15 17:30	PST	21.4	A
USGS	11452500	2016-12-15 17:45	PST	21.4	A
USGS	11452500	2016-12-15 18:00	PST	22.9	A
USGS	11452500	2016-12-15 18:15	PST	23.6	A
USGS	11452500	2016-12-15 18:30	PST	23.6	A
USGS	11452500	2016-12-15 18:45	PST	23.6	A
USGS	11452500	2016-12-15 19:00	PST	24.3	A
USGS	11452500	2016-12-15 19:15	PST	24.3	A
USGS	11452500	2016-12-15 19:30	PST	25.1	A
USGS	11452500	2016-12-15 19:45	PST	25.1	A
USGS	11452500	2016-12-15 20:00	PST	25.1	A
USGS	11452500	2016-12-15 20:15	PST	25.1	A
USGS	11452500	2016-12-15 20:30	PST	25.1	A
USGS	11452500	2016-12-15 20:45	PST	25.1	A
USGS	11452500	2016-12-15 21:00	PST	25.1	A
USGS	11452500	2016-12-15 21:15	PST	25.9	A
USGS	11452500	2016-12-15 21:30	PST	25.9	A
USGS	11452500	2016-12-15 21:45	PST	26.7	A
